conference;""year"";""program chair"";""affiliation""",,,,
"RTSS;""2015"";""Marco Caccamo"";""University of Illinois at Urbana–Champaign"," USA""",,,
"RTSS;""2016"";""Frank Mueller"";""North Carolina State University"," USA""",,,
"RTSS;""2017"";""Isabelle Puaut"";""University of Rennes / IRISA""",,,,
"WWW;""2001"";""Michael Lyu"";",,,,
"WWW;""2001"";""Mary Ellen Zurko"";",,,,
"WWW;""2002"";""David De Roure"";",,,,
"WWW;""2002"";""Arun Iyengar"";",,,,
"WWW;""2003"";""László Kovács"";",,,,
"WWW;""2003"";""Steve Lawrence"";",,,,
"WWW;""2003"";""Yih-Farn Robin Chen"";",,,,
"WWW;""2004"";""Marc Najork"";",,,,
"WWW;""2004"";""Craig Wills"";",,,,
"WWW;""2005"";""Fred Douglis"";""IBM Research"," USA""",,,
"WWW;""2005"";""Prabhakar Raghavan"";""Verity", Inc.," USA""",,
"WWW;""2006"";""Carole Goble"";""University of Manchester"," UK""",,,
"WWW;""2006"";""Michael Dahlin"";""University of Texas at Austin"," USA""",,,
"WWW;""2007"";""Peter Patel-Schneider"";""Bell Labs Research"," USA""",,,
"WWW;""2007"";""Prashant Shenoy"";""University of Massachusetts at Amherst"," USA""",,,
"WWW;""2008"";""Wei-Ying Ma"";""Microsoft Research Asia"," China""",,,
"WWW;""2008"";""Andrew Tomkins"";""Yahoo! Research"," USA""",,,
"WWW;""2008"";""Xiaodong Zhang"";""The Ohio State University"," USA""",,,
"WWW;""2009"";""Yoëlle S. Maare"";""Google Inc."," Israel""",,,
"WWW;""2009"";""Wolfgang Nejdl"";""L3S and Hannover University""",,,,
"WWW;""2010"";""Juliana Freire"";""University of Utah"," USA""",,,
"WWW;""2010"";""Soumen Chakrabarti"";""Indian Institute of Technology", Bombay," India""",,
"WWW;""2011"";""Elisa Bertino"";""Purdue University"," USA""",,,
"WWW;""2011"";""Ravi Kumar 0001"";""Yahoo! Research"," USA""",,,
"WWW;""2012"";""Michael Rabinovich"";""Case Western Reserve University"," USA""",,,
"WWW;""2012"";""Steffen Staab"";""University of Koblenz-Landau"," Germany""",,,
"WWW;""2013"";""Ricardo Baeza-Yates"";""Yahoo! Labs"," Spain & Chile""",,,
"WWW;""2013"";""Sue Moon"";""KAIST"," South Korea""",,,
"WWW;""2014"";""Andrei Broder"";""Google Inc."," USA""",,,
"WWW;""2014"";""Kyuseok Shim"";""Seoul National University"," Korea""",,,
"WWW;""2014"";""Torsten Suel"";""New York University"," USA""",,,
"WWW;""2015"";""Krishna Gummadi"";""Max Planck Institute for Software Systems", MPI-SWS," Germany""",,
"WWW;""2015"";""Chengxiang Zhai"";""University of Illinois at Urbana-Champaing"," USA""",,,
"WWW;""2016"";""Ian Horrocks"";""University of Oxford"";""UK""",,,,
"WWW;""2016"";""Ben Y. Zhao"";""University of California at Santa Barbara"";""CA"," USA""",,,
"WWW;""2017"";""Eugene Agichtein"";""Emory University""",,,,
"WWW;""2017"";""Evgeniy Gabrilovich"";""Google Research""",,,,
"WWW;""2018"";""Lionel Médini"";""Université Claude Bernard Lyon 1"," France""",,,
"WWW;""2018"";""Mounia Lalmas"";""Spotify"," UK""",,,
"WWW;""2018"";""Panagiotis G. Ipeirotis"";""New York University"," USA""",,,
"CIKM;""1996"";""M.T. Özsu"";""University Alberta"," Canada""",,,
"CIKM;""1997"";""Forouzan Golshani"";""Arizona State University""",,,,
"CIKM;""2000"";""James P. Callan"";""Carnegie Mellon University""",,,,
"CIKM;""2000"";""Elke A. Rundensteiner"";""Worcester Polytechnic Institute""",,,,
"CIKM;""2001"";""David Grossman"";""Illinois Institute of Tech.""",,,,
"CIKM;""2001"";""Ling Liu"";""Georgia Tech""",,,,
"CIKM;""2002"";""David Grossman"";""Illinois Institute of Technology""",,,,
"CIKM;""2002"";""Konstantinos Kalpakis"";""University of Maryland Baltimore County""",,,,
"CIKM;""2002"";""Sajda Qureshi"";""Erasmus University"," Rotterdam""",,,
"CIKM;""2002"";""Han van Dissel"";""Erasmus University"," Rotterdam""",,,
"CIKM;""2003"";""Ophir Frieder"";""Illinois Institute of Technology""",,,,
"CIKM;""2003"";""Joachim Hammer"";""University of Florida""",,,,
"CIKM;""2003"";""Sajda Qureshi"";""University of Nebraska at Omaha""",,,,
"CIKM;""2005"";""Hans-Jörg Schek"";""University for Health Sciences", Medical Informatics and Technology," Austria""",,
"CIKM;""2005"";""Norbert Fuhr"";""University of Duisburg"," Germany""",,,
"CIKM;""2005"";""Abdur Chowdhury"";""America Online"," USA""",,,
"CIKM;""2005"";""Wilfried Teiken"";""IBM", T.J. Watson Research Center," USA""",,
"CIKM;""2006"";""Vassilis Tsotras"";""University of California-Riverside""",,,,
"CIKM;""2006"";""Edward Fox"";""Virginia Tech""",,,,
"CIKM;""2006"";""Bing Liu"";""University of Illinois at Chicago""",,,,
"CIKM;""2007"";""Alberto A. F. Laender"";""Universidade Federal de Minas Gerais"," Brazil""",,,
"CIKM;""2007"";""Ricardo Baeza-Yates"";""Yahoo! Research"," Spain/Chile""",,,
"CIKM;""2007"";""Deborah L. McGuinness"";""KSL", Stanford University," USA""",,
"CIKM;""2008"";""Sihem Amer-Yahia"";""Yahoo! Research"," USA""",,,
"CIKM;""2008"";""Yi Zhang"";""University of California", Santa Cruz," USA""",,
"CIKM;""2008"";""Alek Kolcz"";""Microsoft Live Labs"," USA""",,,
"CIKM;""2008"";""Abdur Chowdhury"";""Summize.com"," USA""",,,
"CIKM;""2009"";""Xiaohua Hu"";""Drexel University"," USA""",,,
"CIKM;""2009"";""Jimmy Lin"";""University of Maryland", College Park," USA""",,
"CIKM;""2009"";""Wesley W. Chu"";""UCLA"," USA""",,,
"CIKM;""2010"";""Nick Koudas"";""University of Toronto"," Canada""",,,
"CIKM;""2010"";""Gareth Jones"";""Dublin City University"," Ireland""",,,
"CIKM;""2010"";""Xindong Wu"";""University of Vermont"," USA""",,,
"CIKM;""2011"";""Arjen de Vries"";""CWI""",,,,
"CIKM;""2011"";""Bettina Berendt"";""KU Leuven""",,,,
"CIKM;""2011"";""Wenfei Fan"";""University of Edinburgh""",,,,
"CIKM;""2012"";""Guy Lebanon"";""Georgia Institute of Technology""",,,,
"CIKM;""2012"";""Mohammed Zaki 0001"";""Rensselaer Polytechnic Institute""",,,,
"CIKM;""2012"";""Haixun Wang"";""Microsoft Research Asia""",,,,
"CIKM;""2013"";""Jian Pei"";""Simon Fraser University"," Canada""",,,
"CIKM;""2013"";""Rajeev Rastogi"";""Amazon"," Bangalore""",,,
"CIKM;""2013"";""Wolfgang Nejdl"";""L3S Research Center"," Germany""",,,
"CIKM;""2014"";""Min Wang"";""Google""",,,,
"CIKM;""2014"";""Ian Soboroff"";""NIST""",,,,
"CIKM;""2014"";""Torsten Suel"";""NYU Poly""",,,,
"CIKM;""2014"";""Minos Garofalakis"";""TU Crete""",,,,
"CIKM;""2015"";""Timos Sellis"";""RMIT University""",,,,
"CIKM;""2015"";""Jeffrey Xu Yu"";""The Chinese University of Hong Kong""",,,,
"CIKM;""2015"";""Maarten de Rijke"";""University of Amsterdam""",,,,
"CIKM;""2015"";""Vanessa Murdock"";""Microsoft""",,,,
"CIKM;""2015"";""Charu Aggarwal"";""IBM T. J. Watson Research Center""",,,,
"CIKM;""2015"";""Ravi Kumar 0001"";""Google""",,,,
"CIKM;""2016"";""Elisa Bertino"";""Purdue University"," USA""",,,
"CIKM;""2016"";""Fabio Crestani"";""University of Lugano"," Switzerland""",,,
"CIKM;""2016"";""Javed Mostafa"";""University of North Carolina"," USA""",,,
"CIKM;""2016"";""Jie Tang"";""University"," China""",,,
"CIKM;""2016"";""Luo Si"";""Alibaba Group Inc and Purdue University"," USA""",,,
"CIKM;""2016"";""Xiaofang Zhou"";""University of Queensland"," Australia""",,,
"CIKM;""2017"";""Mark Sanderson"";""RMIT"," Australia""",,,
"CIKM;""2017"";""Ada Wai-Chee Fu"";""Chinese University of Hong Kong""",,,,
"CIKM;""2017"";""Jimeng Sun"";""Georgia Tech"," USA""",,,
"CIKM;""2017"";""Eric Lo"";""Chinese University of Hong Kong""",,,,
"CIKM;""2017"";""J. Shane Culpepper"";""RMIT"," Australia""",,,
"CIKM;""2017"";""Joyce Ho"";""Emory University""",,,,
"CIKM;""2018"";""James Allan"";""University of Massachusetts"," USA""",,,
"CIKM;""2018"";""Norman Paton"";""University of Manchester"," United Kingdom""",,,
"CIKM;""2018"";""Divesh Srivastava"";""AT&T Labs Research"," USA""",,,
"CIKM;""2018"";""Rakesh Agrawal"";""Data Insights Labs"," USA""",,,
"CIKM;""2018"";""Andrei Broder"";""Google Research"," USA""",,,
"CIKM;""2018"";""Mohammed Zaki 0001"";""Rensselaer Polytechnic Institute"," USA""",,,
"EDBT;""1988"";""Joachim W. Schmidt"";""Frankfurt University"," FR Germany""",,,
"EDBT;""1990"";""F. Bancilhon"";""Altair"," France""",,,
"EDBT;""1992"";""Alain Pirotte"";""University of Louvain"," Belgium""",,,
"EDBT;""1994"";""Matthias Jarke"";""RWTH Aachen"," Germany""",,,
"EDBT;""1996"";""Peter Apers"";""Univ. Twente"," The Netherlands""",,,
"EDBT;""1998"";""Hans-Jörg Schek"";""ETH Zurich""",,,,
"EDBT;""2000"";""Carlo Zaniolo"";""UC Los Angeles"," USA""",,,
"EDBT;""2002"";""Christian S. Jensen"";""Aalborg University"," Denmark""",,,
"EDBT;""2004"";""Elisa Bertino"";""University of Milan"," Italy""",,,
"EDBT;""2006"";""Yannis Ioannidis"";""University of Athens""",,,,
"EDBT;""2008"";""Alfons Kempe"";",,,,
"EDBT;""2009"";""Martin Kersten"";",,,,
"EDBT;""2010"";""Ioana Manolescu"";""INRIA"," France""",,,
"EDBT;""2011"";""Anastasia Ailamaki"";""EPFL"," Switzerland""",,,
"EDBT;""2012"";""Elke Rundensteiner"";""Worcester Polytechnic Institute"," USA""",,,
"EDBT;""2013"";""Norman Paton"";""University of Manchester"," UK""",,,
"EDBT;""2014"";""Sihem Amer-Yahia"";""CNRS - LIG"," France""",,,
"EDBT;""2015"";""Gustavo Alonso"";""ETH Zurich"," Switzerland""",,,
"EDBT;""2016"";""Evaggelia Pitoura"";""University of Ioannina"," Greece""",,,
"EDBT;""2017"";""Volker Markl"";""Technische Universität Berlin", TU Berlin," Germany""",,
"EDBT;""2018"";""Michael Böhlen"";""University of Zürich""",,,,
"ICDE;""1984"";""P. Bruce Berra"";""Syracuse University""",,,,
"ICDE;""1986"";""Gio Wiederhold"";""Stanford University""",,,,
"ICDE;""1987"";""Benjamin Wah"";""University of Illinois""",,,,
"ICDE;""1991"";""Nick J. Cercone"";""Simon Fraser University"," Canada""",,,
"ICDE;""1991"";""Mas Tsuchiya"";""Sypex International"," USA/Japan""",,,
"ICDE;""1992"";""Forouzan Golshani"";""Arizona State University""",,,,
"ICDE;""1993"";""Ahmed K. Elmagarmid"";""Purdue University"," USA""",,,
"ICDE;""1993"";""Erich J. Neuhold"";""GMD-IPSI"," Germany""",,,
"ICDE;""1994"";""Marek Rusinkiewicz"";""Univ. of Houston""",,,,
"ICDE;""1995"";""Philip S. Yu"";""IBM T.J. Watson Research Center""",,,,
"ICDE;""1995"";""Arbee L.P. Chen"";""National Tsing Hua University""",,,,
"ICDE;""1996"";""Stanley Y.W. Su"";""University of Florida""",,,,
"ICDE;""1997"";""Alex Gray"";""University of Wales", Cardiff," UK""",,
"ICDE;""1997"";""Per Ake"";""Paul Larson", Microsoft Corporation," USA""",,
"ICDE;""1998"";""Susan D. Urban"";""Arizona State University"," USA""",,,
"ICDE;""1998"";""Elisa Bertino"";""University of Milano"," Italy""",,,
"ICDE;""1999"";""Mike Papazoglou"";""Tilburg University"," The Netherlands""",,,
"ICDE;""1999"";""Calton Pu"";""OGI"," USA""",,,
"ICDE;""1999"";""Masaru Kitsuregawa"";""University of Tokyo"," Japan""",,,
"ICDE;""2000"";""David B. Lomet"";""Microsoft"," USA""",,,
"ICDE;""2000"";""Gerhard Weikum"";""University of Saarland"," Germany""",,,
"ICDE;""2001"";""Alexander Buchmann"";""Darmstadt University"," Germany""",,,
"ICDE;""2001"";""Dimitrios Georgakopoulos"";""Telcordia Technologies"," USA""",,,
"ICDE;""2002"";""Rakesh Agrawal"";""IBM Almaden"," USA""",,,
"ICDE;""2002"";""Klaus Dittrich"";""University of Zurich"," Switzerland""",,,
"ICDE;""2003"";""Umesh Dayal"";""HP Laboratories""",,,,
"ICDE;""2003"";""Krithi Ramamritham"";""IIT Bombay""",,,,
"ICDE;""2004"";""Z. Meral Özsoyoglu"";""Case Western Reserve University"," USA""",,,
"ICDE;""2004"";""Stan Zdonik"";""Brown University"," USA""",,,
"ICDE;""2005"";""Karl Aberer"";""EPF Lausanne"," Switzerland""",,,
"ICDE;""2005"";""Michael Franklin"";""UC Berkeley"," USA""",,,
"ICDE;""2005"";""Shojiro Nishio"";""Osaka University"," Japan""",,,
"ICDE;""2006"";""Ling Liu"";""College of Computing"," Georgia Institute of Technology""",,,
"ICDE;""2006"";""Andreas Reuter"";""European Media Laboratory"," EML""",,,
"ICDE;""2006"";""Kyu-Young Whang"";""Korea Advanced Institute of Science and Technology"," Korea""",,,
"ICDE;""2007"";""Asuman Dogac"";""Middle East Technical University"," Turkey""",,,
"ICDE;""2007"";""M. Tamer Özsu"";""University of Waterloo"," Canada""",,,
"ICDE;""2007"";""Timos Sellis"";""National Technical University of Athens"," Greece""",,,
"ICDE;""2008"";""Gustavo Alonso"";""ETH Zurich"," Switzerland""",,,
"ICDE;""2008"";""José A. Blakeley"";""Microsoft"," USA""",,,
"ICDE;""2008"";""Arbee Chen"";""National Chengchi University"," Taiwan""",,,
"ICDE;""2009"";""Yannis Ioannidis"";""University of Athens"," Greece""",,,
"ICDE;""2009"";""Dik Lee"";""Hong Kong University of Science and Technology""",,,,
"ICDE;""2009"";""Raymond T. Ng"";""University of British Columbia"," Canada""",,,
"ICDE;""2010"";""Shahram Ghandeharizadeh"";""University of Southern California"," USA""",,,
"ICDE;""2010"";""Jayant R. Haritsa"";""Indian Institute of Science"," India""",,,
"ICDE;""2010"";""Gerhard Weikum"";""Max-Planck Institute for Informatics"," Germany""",,,
"ICDE;""2011"";""Serge Abiteboul"";""INRIA"," France""",,,
"ICDE;""2011"";""Christoph Koch"";""Cornell University"," USA""",,,
"ICDE;""2011"";""Tan Kian Lee"";""National University of Singapore"," Singapore""",,,
"ICDE;""2012"";""Johannes Gehrke"";""Cornell University""",,,,
"ICDE;""2012"";""Beng Chin Ooi"";""National University of Singapore""",,,,
"ICDE;""2012"";""Evaggelia Pitoura"";""University of Ioannina"," Greece""",,,
"ICDE;""2013"";""Christian S. Jensen"";""Aarhus University"," Denmark""",,,
"ICDE;""2013"";""Chris Jermaine"";""Rice University"," USA""",,,
"ICDE;""2013"";""Xiaofang Zhou"";""University of Queensland"," Australia""",,,
"ICDE;""2014"";""Isabel Cruz"";""University of Illinois at Chicago"," USA""",,,
"ICDE;""2014"";""Elena Ferrari"";""University of Insubria"," Italy""",,,
"ICDE;""2014"";""Yufei Tao"";""Chinese University of Hong Kong"," China""",,,
"ICDE;""2015"";""Johannes Gehrke"";""Microsoft and Cornell University""",,,,
"ICDE;""2015"";""Wolfgang Lehner"";""TU Dresden""",,,,
"ICDE;""2015"";""Kyuseok Shim"";""Seoul National University""",,,,
"ICDE;""2016"";""Meichun Hsu"";""HP Labs"," USA""",,,
"ICDE;""2016"";""Alfons Kemper"";""Technische Universität München"," Germany""",,,
"ICDE;""2016"";""Timos Sellis"";""Swinburne University of Technology"," Australia""",,,
"ICDE;""2017"";""Yannis Papakonstantinou"";""University of California San Diego""",,,,
"ICDE;""2017"";""Yanlei Diao"";""Ecole Polytechnique"," France & University of Massachusetts""",,,
"ICDE;""2018"";""Beng Chin Ooi"";""National University of Singapore"," Singapore""",,,
"ICDE;""2018"";""Panos K. Chrysanthis"";""University of Pittsburgh"," USA""",,,
"ICDE;""2018"";""Jens Dittrich"";""Saarland University"," Germany""",,,
"ICDM;""2001"";""Nick Cercone"";""University of Waterloo"," Canada""",,,
"ICDM;""2001"";""Tsau Young Lin"";""San Jose State University"," USA""",,,
"ICDM;""2002"";""Vipin Kumar"";""University of Minnesota"," USA""",,,
"ICDM;""2002"";""Shusaku Tsumoto"";""Shimane Medical University"," Japan""",,,
"ICDM;""2003"";""Xindong Wu"";""University of Vermont"," USA""",,,
"ICDM;""2003"";""Alex Tuzhilin"";""New York University"," USA""",,,
"ICDM;""2004"";""Katharina Morik"";""University of Dortmund"," Germany""",,,
"ICDM;""2004"";""Rajeev Rastogi"";""Bell Laboratories", Lucent," USA""",,
"ICDM;""2005"";""Jiawei Han 0001"";""University of Illinois at Urbana-Champaign"," USA""",,,
"ICDM;""2005"";""Benjamin Wah"";""University of Illinois at Urbana-Champaign"," USA""",,,
"ICDM;""2006"";""Chris Clifton"";""Purdue University"," USA""",,,
"ICDM;""2006"";""Ning Zhong 0001"";""Maebashi Institute of Technology"," Japan""",,,
"ICDM;""2007"";""Naren Ramakrishnan"";""Virginia Tech"," USA""",,,
"ICDM;""2007"";""Osmar R. Zaïane"";""University of Alberta"," Canada""",,,
"ICDM;""2008"";""Fosca Giannotti"";""KDD Lab", ISTI-CNR," Italy""",,
"ICDM;""2008"";""Dimitrios Gunopulos"";""UC Riverside"," USA""",,,
"ICDM;""2009"";""Hillol Kargupta"";""University of Maryland"," Baltimore County""",,,
"ICDM;""2009"";""Wei Wang"";""University of North Carolina"," Chapel Hill""",,,
"ICDM;""2010"";""Geoff Webb"";""Monash University"," Australia""",,,
"ICDM;""2010"";""Bing Liu"";""University of Illinois at Chicago"," USA""",,,
"ICDM;""2011"";""Jian Pei"";""Simon Fraser University"," Canada""",,,
"ICDM;""2011"";""Diane Cook"";""Washington State University"," USA""",,,
"ICDM;""2012"";""Arno Siebes"";",,,,
"ICDM;""2012"";""Jeffrey Xu Yu"";",,,,
"ICDM;""2012"";""Mohammed J. Zaki"";",,,,
"ICDM;""2013"";""George Karypis"";""University of Minnesota""",,,,
"ICDM;""2013"";""Hui Xiong"";""Rutgers University""",,,,
"ICDM;""2014"";""Ravi Kumar 0001"";""Google""",,,,
"ICDM;""2014"";""Hannu Toivonen"";""University of Helsinki""",,,,
"ICDM;""2015"";""Charu Aggarwal"";""IBM Research""",,,,
"ICDM;""2015"";""Zhi-Hua Zhou"";""Nanjing University"," China""",,,
"ICDM;""2016"";""Francesco Bonchi"";""ISI Foundation & Eurecat""",,,,
"ICDM;""2016"";""Josep Domingo-Ferrer"";""Universitat Rovira i Virgili""",,,,
"ICDM;""2017"";""Vijay V. Raghavan 0001"";""University of Louisiana at Lafayette""",,,,
"ICDM;""2017"";""Srinivas Aluru"";""Georgia Institute of Technology""",,,,
"ICDT;""1986"";""Giorgio Ausiello"";",,,,
"ICDT;""1988"";""J. Paredaens"";""Belgium""",,,,
"ICDT;""1990"";""Serge Abiteboul"";",,,,
"ICDT;""1990"";""Paris C. Kanellakis"";",,,,
"ICDT;""1992"";""Joachim Biskup"";",,,,
"ICDT;""1992"";""Richard Hull"";",,,,
"ICDT;""1995"";""Georg Gottlob"";""Austria""",,,,
"ICDT;""1995"";""Moshe Y. Vardi"";""USA""",,,,
"ICDT;""1997"";""Foto N. Afrati"";""Greece""",,,,
"ICDT;""1997"";""Phokion G. Kotaitis"";""USA""",,,,
"ICDT;""1999"";""Catriel Beeri"";""Israel""",,,,
"ICDT;""1999"";""Peter Buneman"";""USA""",,,,
"ICDT;""2001"";""Jan Van den Bussche"";""Limburg U""",,,,
"ICDT;""2001"";""Victor Vianu"";""UC San Diego""",,,,
"ICDT;""2003"";""Maurizio Lenzerini"";""University of Rome “La Sapienza”"," Italy""",,,
"ICDT;""2003"";""Rajeev Motwani"";""Stanford University"," USA""",,,
"ICDT;""2005"";""Thomas Eiter"";""Vienna University of Technology"," Austria""",,,
"ICDT;""2005"";""Leonid Libkin"";""University of Toronto"," Canada""",,,
"ICDT;""2007"";""Thomas Schwentick"";""University of Dortmund""",,,,
"ICDT;""2007"";""Dan Suciu"";""University of Washington""",,,,
"ICDT;""2009"";""Ronald Fagin"";""IBM Almaden Research Center"," USA""",,,
"ICDT;""2010"";""Luc Segoufin"";""INRIA & ENS Chacan""",,,,
"ICDT;""2011"";""Tova Milo"";""Tel Aviv University"," Israel""",,,
"ICDT;""2012"";""Alin Deutsch"";""University of California", San Diego," USA""",,
"ICDT;""2013"";""Wang Chiew Tan"";""IBM Almaden and UC Santa Cruz""",,,,
"ICDT;""2014"";""Nicole Schweikardt"";""Goethe-Univ. Frankfurt""",,,,
"ICDT;""2015"";""Marcelo Arenas"";""PUC Chile""",,,,
"ICDT;""2016"";""Wim Martens"";""University of Bayreuth""",,,,
"ICDT;""2017"";""Michael Benedikt"";""University of Oxford""",,,,
"ICDT;""2018"";""Benny Kimelfeld"";""Technion - Israel Institute of Technology""",,,,
"ECML;""1997"";""Jan Komorowski"";",,,,
"ECML;""1997"";""Jan Zytkow"";",,,,
"ECML;""1998"";""Mohamed Quafafou"";",,,,
"ECML;""1998"";""Jan M. Zytkow"";",,,,
"ECML;""1999"";""Jan Rauch"";",,,,
"ECML;""1999"";""Jan M. Zytkow"";",,,,
"ECML;""2000"";""Djamel A. Zighed"";""University Lyon 2"," France""",,,
"ECML;""2000"";""Jan Komorowski"";""Norwegian University of Science and Technology", Trondheim," Norway""",,
"ECML;""2001"";""Arno Siebes"";""Utrecht University""",,,,
"ECML;""2001"";""Luc De Raedt"";""Albert-Ludwigs University""",,,,
"ECML;""2002"";""Tapio Elomaa"";""Univ. of Helsinki""",,,,
"ECML;""2002"";""Heikki Mannila"";""Helsinki Inst. for Information Technology and Helsinki Univ. of Technology""",,,,
"ECML;""2002"";""Hannu Toivonen"";""Nokia Research Center and Univ. of Helsinki""",,,,
"ECML;""2003"";""Nada Lavrac"";""Jozef Stefan Institute"," Slovenia""",,,
"ECML;""2003"";""Dragan Gamberger"";""Rudjer Boskovic Institute"," Croatia""",,,
"ECML;""2003"";""Ljupco Todorovski"";""Jozef Stefan Institute"," Slovenia""",,,
"ECML;""2004"";""Jean-Francois Boulicaut"";""INSA-Lyon"," France""",,,
"ECML;""2004"";""Floriana Esposito"";""University of Bari"," Italy""",,,
"ECML;""2004"";""Fosca Giannotti"";""ISTI-CNR", Pisa," Italy""",,
"ECML;""2004"";""Dino Pedreschi"";""University of Pisa"," Italy""",,,
"ECML;""2005"";""Alípio Mário Jorge"";""LIACC/FEP"," Portugal""",,,
"ECML;""2005"";""Luís Torgo"";""LIACC/FEP"," Portugal""",,,
"ECML;""2006"";""Johannes Fürnkranz"";""Technische Universität Darmstadt""",,,,
"ECML;""2006"";""Tobias Scheffer"";""Humboldt-Universität zu Berlin""",,,,
"ECML;""2006"";""Myra Spiliopoulou"";""Otto-von-Guericke-Universität Magdeburg""",,,,
"ECML;""2007"";""Joost N. Kok"";""Leiden University""",,,,
"ECML;""2007"";""Stan Matwin"";""University of Ottawa and Polish Academy of Sciences""",,,,
"ECML;""2007"";""Dunja Mladenic"";""Jozef Stefan Institute""",,,,
"ECML;""2007"";""Andrzej Skowron"";""Warsaw University""",,,,
"ECML;""2009"";""Wray L. Buntine"";""Helsinki Institute of Information Technology"," Finland""",,,
"ECML;""2009"";""Marko Grobelnik"";""Jozef Stefan Institute"," Slovenia""",,,
"ECML;""2009"";""John Shawe-Taylor"";""University College London"," UK""",,,
"ECML;""2013"";""Hendrik Blockeel"";""KU Leuven & Univ. Leiden""",,,,
"ECML;""2013"";""Kristian Kersting"";""Univ. Bonn""",,,,
"ECML;""2013"";""Siegfried Nijssen"";""KU Leuven & Univ. Leiden""",,,,
"ECML;""2013"";""Filip Zelezný"";""CVUT Prague""",,,,
"ECML;""2018"";""Michele Berlingerio"";""IBM Research"," Ireland""",,,
"ECML;""2018"";""Francesco Bonchi"";""ISI Foundation"," Italy""",,,
"ECML;""2018"";""Thomas Gärtner"";""University of Nottingham"," UK""",,,
"ECML;""2018"";""Georgiana Ifrim"";""University College Dublin"," Ireland""",,,
"PODS;""1982"";""Alfred V. Aho"";""Bell Laboratories", Murray Hill," New Jersey""",,
"PODS;""1983"";""Philip A. Bernstein"";""Harvard University", Cambridge," Massachusetts""",,
"PODS;""1984"";""Ronald Fagin"";""IBM Research Laboratory", San Jose," California""",,
"PODS;""1985"";""Jeffrey D. Ullman"";",,,,
"PODS;""1986"";""Abraham Silberschatz"";""Univ. of Texas"," Austin""",,,
"PODS;""1987"";""Moshe Y. Vardi"";""IBM Almaden Research Center""",,,,
"PODS;""1988"";""Michael Yannakakis"";""Princeton University""",,,,
"PODS;""1989"";""A. K. Chandra"";",,,,
"PODS;""1990"";""Yehoshua Sagiv"";",,,,
"PODS;""1991"";""Alberto O. Mendelzon"";",,,,
"PODS;""1992"";""Paris C. Kanellakis"";""Brown Univ.", Providence," RI""",,
"PODS;""1993"";""Catriel Beeri"";""Princeton University""",,,,
"PODS;""1994"";""Victor Vianu"";""Univ. of California at San Diego"," La Jolla""",,,
"PODS;""1995"";""Serge Abiteboul"";""INRIA""",,,,
"PODS;""1996"";""Richard Hull"";""Univ. of Colorado""",,,,
"PODS;""1997"";""Z. Meral Özsoyoglu"";""Case Western Reserve Univ.", Cleveland," OH""",,
"PODS;""1998"";""Jan Paredaens"";""Univ. of Antwerp""",,,,
"PODS;""1999"";""Christos H. Papadimitriou"";""Univ. of California"," Berkeley""",,,
"PODS;""2000"";""Georg Gottlob"";""Technische Univ. Wien", Vienna," Austria""",,
"PODS;""2001"";""Peter Buneman"";""Univ. of Pennsylvania""",,,,
"PODS;""2002"";""Phokion G. Kolaitis"";""University of California - Santa Cruz""",,,,
"PODS;""2003"";""Tova Milo"";""Tel Aviv University & INRIA""",,,,
"PODS;""2004"";""Dan Suciu"";""University of Washington"," USA""",,,
"PODS;""2005"";""Foto Afrati"";""National Technical University of Athens"," Greece""",,,
"PODS;""2006"";""Jan Van den Bussche"";""Hasselt University""",,,,
"PODS;""2007"";""Leonid Libkin"";""University Edinburgh & University Toronto""",,,,
"PODS;""2008"";""Maurizio Lenzerini"";""University of Rome La Sapienza""",,,,
"PODS;""2009"";""Jianwen Su"";""UC Santa Barbara""",,,,
"PODS;""2010"";""Dirk Van Gucht"";""Indiana University""",,,,
"PODS;""2011"";""Thomas Schwentick"";""Chair"," TU Dortmund University""",,,
"PODS;""2012"";""Michael Benedikt"";""University of Oxford"," UK""",,,
"PODS;""2013"";""Wenfei Fan"";""University of Edinburgh"," UK""",,,
"PODS;""2014"";""Martin Grohe"";""RWTH Aachen University"," Germany""",,,
"PODS;""2015"";""Diego Calvanese"";""Free University of Bozen-Bolzano"," Italy""",,,
"PODS;""2016"";""Wang-Chiew Tan"";""UC Santa Cruz"," USA""",,,
"PODS;""2017"";""Floris Geerts"";""University of Antwerp""",,,,
"PODS;""2018"";""Marcelo Arenas"";""PUC Chile and IMFD Chile""",,,,
"SDM;""2002"";""Jiawei Han 0001"";""Fraser University""",,,,
"SDM;""2002"";""H. Mannila"";""Nokia""",,,,
"SDM;""2003"";""Daniel Barbará"";""George Mason University""",,,,
"SDM;""2003"";""Chandrika Kamath"";""Lawrence Livermore National Laboratory""",,,,
"SDM;""2004"";""Umeshwar Dayal"";""Hewlett-Packard Laboratories""",,,,
"SDM;""2004"";""Michael W. Berry"";""University of Tennessee""",,,,
"SDM;""2005"";""Hillol Kargupta"";""University of Maryland"," Baltimore County""",,,
"SDM;""2005"";""Jaideep Srivastava"";""University of Minnesota""",,,,
"SDM;""2006"";""Joydeep Ghosh"";""Univesity of Texas""",,,,
"SDM;""2006"";""Diane Lambert"";""Google""",,,,
"SDM;""2007"";""Srinivasan Parthasarathy 0001"";""Ohio State University""",,,,
